Hillary,Trump,total,county_name,state_abbreviation
1295,2062,3402,Taylor County,GA
1313,2449,3794,Telfair County,GA
2267,1872,4179,Terrell County,GA
7138,11225,18730,Thomas County,GA
3892,8680,12796,Tift County,GA
2338,6612,9108,Toombs County,GA
1206,5377,6726,Towns County,GA
860,1808,2700,Treutlen County,GA
9597,15643,25793,Troup County,GA
1243,2094,3390,Turner County,GA
1970,2034,4053,Twiggs County,GA
1962,9849,12039,Union County,GA
3471,7288,10924,Upson County,GA
4213,18938,23939,Walker County,GA
8279,31093,40425,Walton County,GA
3436,8508,12150,Ware County,GA
1313,991,2332,Warren County,GA
4187,4138,8422,Washington County,GA
2039,8147,10376,Wayne County,GA
471,630,1114,Webster County,GA
646,1421,2102,Wheeler County,GA
1672,9751,11771,White County,GA
7925,21514,30362,Whitfield County,GA
852,2096,2973,Wilcox County,GA
1844,2569,4470,Wilkes County,GA
1893,2332,4276,Wilkinson County,GA
2015,6144,8266,Worth County,GA
41258,17500,64865,Hawaii County,HI
175634,90296,285683,Honolulu County,HI
16456,7574,26335,Kauai County,HI
33479,13445,51942,Maui County,HI
1127,2456,3759,Adair County,IA
565,1393,2082,Adams County,IA
2409,4072,6837,Allamakee County,IA
1813,4031,6096,Appanoose County,IA
1079,2135,3379,Audubon County,IA
4672,8226,13690,Benton County,IA
32006,27382,63221,Black Hawk County,IA
5517,7458,13984,Boone County,IA
5349,7199,13350,Bremer County,IA
3966,5504,10137,Buchanan County,IA
2851,4895,8179,Buena Vista County,IA
2163,4918,7457,Butler County,IA
1396,3466,5105,Calhoun County,IA
3305,6627,10435,Carroll County,IA
1946,4755,7055,Cass County,IA
3578,5275,9386,Cedar County,IA
9840,11583,22633,Cerro Gordo County,IA
1676,4188,6186,Cherokee County,IA
2264,3739,6367,Chickasaw County,IA
1463,2706,4405,Clarke County,IA
2246,5870,8542,Clay County,IA
3236,5309,9098,Clayton County,IA
10079,11249,22748,Clinton County,IA
1985,4608,6862,Crawford County,IA
15662,19288,37617,Dallas County,IA
976,2721,3858,Davis County,IA
1201,2296,3703,Decatur County,IA
2956,5688,9165,Delaware County,IA
8178,9479,18713,Des Moines County,IA
3051,6743,10247,Dickinson County,IA
22774,23384,49037,Dubuque County,IA
1356,3121,4707,Emmet County,IA
3666,5591,9813,Fayette County,IA
3177,4371,7985,Floyd County,IA
1490,3153,4915,Franklin County,IA
959,2401,3554,Fremont County,IA
1688,2819,4762,Greene County,IA
1847,4516,6766,Grundy County,IA
1720,3603,5654,Guthrie County,IA
2715,4450,7589,Hamilton County,IA
1582,3972,5815,Hancock County,IA
2774,5231,8423,Hardin County,IA
2123,4892,7378,Harrison County,IA
2897,5764,9286,Henry County,IA
1674,2611,4507,Howard County,IA
1251,3564,5033,Humboldt County,IA
792,2655,3590,Ida County,IA
3070,5193,8789,Iowa County,IA
3837,5821,10204,Jackson County,IA
7108,10556,18776,Jasper County,IA
3702,3738,8001,Jefferson County,IA
49942,20993,75637,Johnson County,IA
3779,5718,10011,Jones County,IA
1265,3385,4858,Keokuk County,IA
2529,5637,8505,Kossuth County,IA
6195,8762,15893,Lee County,IA
58481,48183,114664,Linn County,IA
1643,3060,4943,Louisa County,IA
1236,2873,4297,Lucas County,IA
917,5188,6336,Lyon County,IA
2666,5336,8523,Madison County,IA
2606,7404,10494,Mahaska County,IA
5469,10940,17554,Marion County,IA
7623,9125,17700,Marshall County,IA
2080,5050,7608,Mills County,IA
1879,3180,5360,Mitchell County,IA
1244,3115,4525,Monona County,IA
1053,2635,3844,Monroe County,IA
1312,3431,4998,Montgomery County,IA
8284,9549,19086,Muscatine County,IA
1314,5735,7348,O'Brien County,IA
552,2528,3197,Osceola County,IA
1801,4875,6968,Page County,IA
1395,3079,4674,Palo Alto County,IA
2878,9659,13057,Plymouth County,IA
962,2692,3831,Pocahontas County,IA
119671,93421,228420,Polk County,IA
15341,24441,42226,Pottawattamie County,IA
4272,4936,9693,Poweshiek County,IA
753,1820,2684,Ringgold County,IA
1269,3692,5158,Sac County,IA
40302,39083,84878,Scott County,IA
1649,4340,6270,Shelby County,IA
2289,14761,17989,Sioux County,IA
25085,19111,48910,Story County,IA
3194,4968,8636,Tama County,IA
755,2108,3003,Taylor County,IA
1920,3521,5768,Union County,IA
843,2524,3526,Van Buren County,IA
5591,8710,14996,Wapello County,IA
10371,14773,26916,Warren County,IA
3938,6170,10824,Washington County,IA
719,2069,2921,Wayne County,IA
6293,10049,17239,Webster County,IA
1920,3437,5717,Winnebago County,IA
5238,5332,11217,Winneshiek County,IA
16102,24627,42933,Woodbury County,IA
1523,2443,4216,Worth County,IA
1890,3790,5949,Wright County,IA
75676,93748,195587,Ada County,ID
415,1556,2183,Adams County,ID
10342,17180,33405,Bannock County,ID
255,2203,2928,Bear Lake County,ID
